Order_ID,Order_Date,Month,Month_No,Customer_ID,State,Sales_Channel,Category,Product,Quantity,Unit_Price_INR,Discount_Pct,Gross_Sales_INR,Discount_Amount_INR,Net_Sales_INR,Cost_INR,Profit_INR,Profit_Margin_Pct,Payment_Method
ORD0001,2025-04-13,April,4,CUST0021,Karnataka,Retail Store,Clothing,Jacket,5,1508.89,0.2,7544.450000000001,1508.8900000000003,6035.56,3319.5580000000004,2716.002,44.99999999999999,Debit Card
ORD0002,2025-03-29,March,3,CUST0258,Tamil Nadu,Retail Store,Beauty,Shampoo,4,671.46,0.15,2685.84,402.87600000000003,2282.964,1187.14128,1095.82272,48.0,Cash
ORD0003,2025-10-04,October,10,CUST0049,Telangana,Marketplace,Electronics,Headphones,4,42864.23,0.0,171456.92,0.0,171456.92,133736.39760000003,37720.52239999999,21.999999999999993,Cash
ORD0004,2025-02-24,February,2,CUST0021,West Bengal,Marketplace,Clothing,Jeans,1,755.48,0.15,755.48,113.322,642.158,353.18690000000004,288.9711,44.99999999999999,Cash
ORD0005,2025-03-30,March,3,CUST0053,Delhi,Marketplace,Clothing,Sneakers,6,4946.19,0.1,29677.14,2967.714,26709.426,14690.1843,12019.241699999999,44.99999999999999,Cash
ORD0006,2025-09-21,September,9,CUST0002,Rajasthan,Retail Store,Office Supplies,Printer Paper,6,1038.55,0.05,6231.299999999999,311.565,5919.735,3433.4462999999996,2486.2887,42.00000000000001,Cash
ORD0007,2025-11-06,November,11,CUST0202,Uttar Pradesh,Retail Store,Beauty,Perfume,7,2979.54,0.1,20856.78,2085.678,18771.102,9760.973039999999,9010.12896,48.00000000000001,UPI
ORD0008,2025-07-09,July,7,CUST0217,West Bengal,Online,Beauty,Sunscreen,5,1095.45,0.2,5477.25,1095.45,4381.8,2278.536,2103.264,48.0,UPI
ORD0009,2025-12-11,December,12,CUST0139,Maharashtra,Online,Electronics,Headphones,1,19326.79,0.0,19326.79,0.0,19326.79,15074.896200000001,4251.8938,21.999999999999996,Debit Card
ORD0010,2025-10-16,October,10,CUST0028,Karnataka,Online,Office Supplies,Stapler,5,2323.12,0.15,11615.599999999999,1742.3399999999997,9873.259999999998,5726.490799999999,4146.7692,42.00000000000001,Credit Card
ORD0011,2025-02-02,February,2,CUST0035,Madhya Pradesh,Marketplace,Grocery,Coffee,5,889.05,0.15,4445.25,666.7875,3778.4625,2720.493,1057.9695000000002,28.000000000000004,Debit Card
ORD0012,2025-09-14,September,9,CUST0283,West Bengal,Marketplace,Beauty,Shampoo,2,978.75,0.05,1957.5,97.875,1859.625,967.005,892.62,48.0,Credit Card
ORD0013,2025-06-28,June,6,CUST0231,Uttar Pradesh,Online,Electronics,Headphones,4,40106.71,0.15,160426.84,24064.025999999998,136362.814,106362.99492000001,29999.81908,21.999999999999996,Debit Card
ORD0014,2025-03-27,March,3,CUST0134,Uttar Pradesh,Retail Store,Clothing,Jacket,2,3933.95,0.05,7867.9,393.395,7474.504999999999,4110.97775,3363.527249999999,44.99999999999999,Credit Card
ORD0015,2025-12-14,December,12,CUST0283,West Bengal,Online,Electronics,Laptop,7,59689.22,0.05,417824.54000000004,20891.227000000003,396933.313,309607.98414,87325.32886000001,22.0,Debit Card
ORD0016,2025-12-25,December,12,CUST0234,Tamil Nadu,Marketplace,Grocery,Biscuits,3,530.02,0.05,1590.06,79.503,1510.557,1087.60104,422.95596,28.000000000000004,UPI
